,category,title,body
292,lightbulb,mice,how many mice does it take to screw in a light bulb? two  think about it 
299,medical,roses are red,roses are red violets are blue i am schizophrenic and so am i!
302,yo momma,so fat...,"yo mama is so fat, she went to buy a water bed and they put a blanket over the altantic ocean."
319,blond,square,why are the blonde is boobs square? she forgot to take the tissues out of the box!
323,blond,braincells,how do a blond is braincells die? alone.
326,one liners,sword,those who live by the sword get shot by those who do not.
331,yo momma,yo momma,yo momma is so dumb that when she got locked in the grocery store she starved to death!
332,yo momma,duh,yo mama stinks so bad that when she puts on her  isecret' deodorant it tells! ha ha   
356,insults,faces," i never forget a face. however, in your case, i will be glad to make an exception.   groucho marx"
361,lawyer,honest lawyer,what do you call an honest lawyer? an oxymoron.
370,other / misc,lone bones,q  why did not the skeleton go to the dance? a  because it had no body to go with.
371,animal,"fish says, ""duuuuude!""",q  what does a fish use to get high? a  seaweed!
389,one liners,complaining wife,my wife keeps complaining i never listen to her...or something like that.
394,insults,perfect idiot,"people say you are the perfect idiot. i say you are not perfect, but you are doing pretty good."
408,one liners,stealing,do not steal. the government hates competition.
410,men / women,government vs. men,what is the difference between men and government bonds? the bonds mature. eventually.
412,one liners,abbr.,why is the word abbreviation so long?
415,one liners,cross-country,"if you are going to try cross country skiing, start with a small country."
416,one liners,i don't exercise...,i do not exercise because it makes the ice jump right out of my glass.
449,sports,hockey,what do you call a canadian fire? a calgary flame.
450,other / misc,bill clinton,what does monica lewinski and a coin machine have in common? insert bill here!
473,blond,fish,q. why do young blondes carry goldfish in their pockets? a. so they can smell like old blondes.
484,blond,steering wheel,what do you call a blonde behind a steering wheel? an air bag
488,one liners,lawyers creed,lawyers creed  a man is innocent until proven broke.
499,one liners,egyptologist,the egyptologist sneezed  hapshepsut!
500,one liners,fat chance,ever notice that  fat chance  and  slim chance  mean the same thing?
501,one liners,how to calculate the cost of living,take your income and add 10 
507,one liners,solutions,every solution breeds new problems.
508,other / misc,marines,"join the marines  visit exotic places, meet interesting people and then kill them."
511,men / women,miss right,i married miss right. i just did not know her first name was always.
512,blond,smile!,why does a blonde smile at lightning? she thinks she is getting her picture taken.
520,blond,blow in the ear,what does a blonde say when you blow in their ear? thank you for the refill.
522,lightbulb,republicans,"how many republicans does it take to screw in a lightbulb? none, they only screw the poor."
523,lightbulb,blondes,"how many blondes does it take to screw in a lighbulb? none, they just assume they have gone blind."
531,one liners,maternity ward,sign seen on a maternity ward door  push! push! push!
542,one liners,someone, all my life i wanted to be someone  i guess i should have been more specific.   jane wagner
544,insults,round room,how do you confuse a stupid person? put them in a round room and tell them to sit in the corner.
545,blond,kool-aid,why do blondes hate making kool aid? they can not fit the 8 cups of water in the envelope!
547,yo momma,90210,yo momma is so fat that the last time she saw 90210 is when she stepped on the bathroom scale!
555,gross,yuck!," mommy, i hate my sister is guts!   shut up and eat what is put in front of you! "
556,one liners,model,then there was the model who sat on a broken bottle and cut a good figure.
559,one liners,neat nurse,"then there was the neat nurse, who made the patient without disturbing the bed."
560,one liners,three bears,then there were the three bears. one married a giraffe. the other two put him up to it.
561,puns,mind over matter,"mind over matter if you do not mind, it does not matter."
562,one liners,complex," madame,  said the psychiatrist,  you have not got a complex  you are inferior. "
567,puns,pirate movie,did you see that movie about the pirate? it is rated arrr!
568,yo momma,toiletry,"yo momma is so fat, it takes 2 toilets to fit one cheek!"
569,yo momma,a belt?,your mama so fat that she has to wear traintracks for a belt!
570,yo momma,mt. rushmore,your mama so old and fat that she went to see mt. rushmore and sang  we are family 
571,yo momma,walking,your mama so big that people walk around her for exercise.
586,yo momma,saturns rings,yo mama is so fat she used saturn is rings as hoola hoops!
587,blond,motorcycle,what are two blondes doing in front of a motorcycle? arguing about who get a window seat.
588,blond,smart blond?,what do you call a smart blond? an endangered species
589,blond,mission impossible,what do you call a movie about a man trying to make a blond smart? mission impossible
591,blond,chain link fence,why do blondes climb chain link fences? to see what is on the other side.
592,blond,tight skirt,why does a blond wear a tight skirt? to keep her legs closed
594,blond,intelligent blonde?,what do you call an intelligent blonde? a golden retriever
596,lightbulb,dyslexics,how many dyslexics does it take to change a lit blub?
602,yo momma,popcorn,"yo mama so fat, she coughed next to a corn field and made popcorn."
609,other / misc,wall to wall,what did the wall say to the picture? how is it hangin`?
611,one liners,gas,i wonder who came up with the company people is gas and where was their pepto bismal?
613,puns,california,what happens when the smog clears over southern california? ucla
616,insults,roses are red,"roses are red, violets are blue, i thought i was stupid, then i met you!"
622,one liners,old-fashioned way,i make money the old fashioned way. my salary is the same as it was ten years ago.
626,one liners,headline,actual newspaper headline  kids make great snacks for teachers.
637,other / misc,blind sky diving,why do not blind people sky dive? because it scares the crap outta the dog.
638,gross,mathematician,what do constipated mathematicians do? work it out with a pencil.
639,yo momma,so ugly,yo mama is so ugly not even the tide would take her out.
643,one liners,zen,what did the zen buddhist say to the new york hot dog vendor?  make me one with everything. 
660,men / women,toilet paper,"how many men does it take to change a roll of toilet paper? we do not know, it has never happened."
666,sports,endless love,what is the definition of endless love? stevie wonder playing ray charles at tennis! endless love!
679,yo momma,on the scale,"yo mama is so fat when she steps on a scale, it reads  one at a time, please !"
680,men / women,life,"contrary to popular opinion, life is not a bi  h. life is a virgin. a bi  h would be easy."
681,one liners,enzymes and hormones,what is the difference between an enzyme and a hormone? you can not hear an enzyme!
684,animal,cows night out,q  where do cows go on saturday nights? a  to the moovies
690,blond,911,why can not you trust a blonde to call for an ambulance? she can not find the 11 to call 911.
691,yo momma,baldie,yo momma is so bald when she wears a turtleneck she looks like a broken condom.
692,yo momma,beaver,yo momma so fat when she stepped on my dog is tail i had to change his name to  beaver. 
694,blond,welfare blonde,why did the blonde call the welfare office? she wanted to know how you cook food stamps.
696,one liners,tired?,the amount of sleep required by the average person is about five minutes more.
699,one liners,perfect climate,the perfect climate is in bed.
700,blond,oximoron,q  what do you call an oxymoron? a  a smart blonde!
701,puns,dirty joke,wanna hear a dirty joke? a boy fell in a mud puddle.
718,yo momma,shower,yo mama so skinny she had to run arround the shower to get wet.
719,at work,make a long story short,"to make a long story short, well, it helps if the boss walks in!"
721,men / women,dope,grow some dope... plant a man.
729,other / misc,definition of an alarm clock,"alarm clock, n. a device for waking up people who do not have small children"
737,yo momma,dumb,"yo mama so dumb, she tried to spell out the alphabet with m m is."
743,one liners,opera,"opera  where somebody gets stabbed in the back and, instead of bleeding, sings."
748,blond,pregnant,what two things in the air can make a blonde pregnant? her legs
750,medical,good egg,whats the difference between a good egg and a good fart? you can not beat a good fart!
751,one liners,hookers,blind hookers eh? you have got to hand it to them.
758,men / women,3 rings,"there are three well known rings to marriage  engagement ring, wedding ring, and suffering!"
759,yo momma,humpty dumpty,"yo mama is like humpty dumpty.... first she gets humped, then she gets dumped!"
760,one liners,bad driver,"if you do not like my driving, stay out of the bus shelters!"
767,other / misc,m. j.,how does michael jackson pick his nose? through a catalogue!!
768,puns,tequila,did you hear about the woman who poured margaritas in her birdbath? enough tequila mockingbird.
770,knock-knock,chips,knock knock! who is there? chips. chips who? chips ahoy!
772,blond,how to kill a blond,q. how do you kill a blond? a. put a scratch and sniff sticker at the bottom of a pool.
773,yo momma,so fat,"yo mama is so fat, when she got on the scale it said to be continued!"
774,yo momma,dirty,yo momma so dirty she has to sneak up on the water
775,yo momma,pms,"your momma such a bitch, pms cheers her up."
776,yo momma,yo mama,"yo mama is so fat, when she stepped on the scale she screwed it to the bottom of the floor."
779,one liners,tips on pill taking,never ever take a sleeping pill and a laxative in the same night.
785,yo momma,411,yo momma is so dumb she had to call 411 to get the number for 911.
786,yo momma,clear,"yo mama so dumb, her favorite color is clear."
788,blond,keeping a blonde busy,how do you keep a blonde busy?  see below  how do you keep a blonde busy?  see above 
792,lightbulb,how many paranoids?,how many paranoids does it take to screw in a lightbulb? what exactly do you mean by that?
794,lawyer,copperwire,how was copper wire invented? two lawyers were fighting over a penny.
804,one liners,ghosts,why do not ghosts make good magicians? you can see right through them!
805,medical,"doctor, doctor:...","patient  doctor doctor, j keep seeing doubles! doctor  please take a seat. patient  which one?"
807,other / misc,cappuccino buzz,i had four cappuccinos at one time. i was bouncing off the walls. good thing they were padded.
810,lightbulb,existentialists,how many existentialists does it take to change a light bulb? what light bulb?
811,yo momma,pirates see her,"yo momma is so big that when pirates see her they say,  land ho! "
813,yo momma,playstation,"yo mama is so dumb, she thought that a playstation was a day care place."
814,knock-knock,madam,knock knock who is there? madam madam who? madam foot is caught in the door!
815,yo momma,bungee jumping,"yo mama is so fat that when she went bungee jumping, she took down the whole bridge with her."
816,yo momma,fun fun fun,yo mama is so fat that she rents herself out as a jumping castle.
818,knock-knock,july,knock knock who is there? july july who? july like bill clinton
822,news / politics,coast gaurd bumper sticker,this is off a coast guard bumper sticker  support search and rescue  get lost!
824,tech,metric system,"darn those pushy metric system advocates! give them 2.54 cm., and they will take 1.6093 km!"
829,yo momma,mt. mama,"yo mama is so fat, her inuit name is denali!"
830,yo momma,gamecube,"yo momma is so dumb, she thought a gamecube was a rubik is puzzle."
831,yo momma,tsunami mommy,"yo momma is so fat, when she jumps in the ocean, people head for higher ground."
832,yo momma,self centered momma,"yo self centered momma is so fat, the world really does revolve around her!"
833,yo momma,big momma at the family reunion,"yo mama is so fat, your family photos have to be shot from a plane."
834,yo momma,"get a haircut, momma!","yo mama is so fat and lazy, that her hair do has been turned into a national forest."
835,yo momma,factory,"yo mama so stupid, she got fired at the m   m factory because she threw out all the w is!"
837,blond,lightbulb,"how many blondes does it take to screw in a lightbulb? none, blondes usually screw in cars!"
838,blond,what do railroad tracks...,what do railroad tracks and blondes have in common? they are both laid all over america!
839,blond,how do you get a blonde to laugh on friday?,how do you get a blonde to laugh on friday? tell her a joke on monday!
840,blond,blondesssss,what does a blonde do when she wakes up? she goes home!
841,blond,door knob,"a blonde is like a door knob, everyone gets a turn!"
842,knock-knock,little boy blue,knock knock! who is there? little boy blue. little boy blue who? micheal jackson!!!!!
843,other / misc,why are.....,why are constipated people so mean and rude? ..because they do not give a crap!
845,yo momma,old,"yo mama so old that when i told her to act her age, she died!"
851,gross,6.9,"a boy asks his dad, dad, what is 6.9?  the dad answers,  69 interrupted by a period! "
852,gross,santa,why does santa have such big balls? because he only comes once a year!
853,insults,you're so stupid you...,you are so stupid that you sold your car for gas money!
854,blond,bathroom,one blonde was so dumb she got locked in a bathroom and pissed her self!
855,blond,turtles,"a blonde is like a turtle. if either one is on their back, they are screwed!"
857,blond,TRUE,how many blonde jokes are there? one. the rest are all true stories.
858,blond,internet,what is the difference between a blonde and the internet? not everyone has been on the internet!
860,gross,how do you fit...,how do you fit 4 gay guys on a chair? turn it upside down!
861,gross,what do osama bin laden,what do osama bin laden and crabs have in common. they both irritate bush!
863,gross,midgets,what is grosser than gross? when a midget walks by and says your hair smells nice!
864,other / misc,pumpkin,what is the name for a bandaid on a pumpkin? a pumpkin patch!
865,insults,killing a bird,"you are so stupid, you tried to kill a bird by throwing it off a cliff."
866,animal,killing fish,your so stupid you tried to kill a fish by drowning it!
867,insults,solar powered,your so stupid you invented glow in the dark sun glasses!
868,insults,waterproof,you are so dumb you invented water proof tea bags!
869,insults,taxi,"you are so fat, when you went outside wearing a yellow dress everybody called  taxi "
870,insults,ugly,"you are so ugly, you can not even turn on a lightbulb!"
871,insults,behind back,you are so fat that everybody has to talk behind your back!
883,yo momma,boogers,"yo mama so fat, when she sat on a quarter, boogers came out of george washington is nose."
884,lawyer,name?,what did the lawyer name his daughter? answer  sue
889,blond,blonde driver,why did the blonde take a right into the ditch? her blinker was on.
892,blond,rainy day,how do you keep a blonde busy on a rainy day? tell her to touch the rainbow.
897,insults,you're so stupid........fax,you are so stupid that when you send a fax you put a stamp on it
900,men / women,battle of the sexes,nobody will ever win the battle of the sexes. there is too much fraternizing with the enemy.
904,yo momma,love...,"yo mama is so fat, she fell in love and broke it."
906,animal,bmws & porcupines,what is the difference between a bmw   a porcupine? a porcupine has pricks on the outside.
917,insults,you're so poor,you are so poor i went in your front door and came out the back.
918,children,after school snack,why did the boy eat his homework? because his teacher said it was a piece of cake
921,insults,be comfortable,why do not you slip into something comfortable. like a coma.
922,insults,twinkies,i have not seen anyone run that fast since twinkies went on sale.
923,blond,rollercoaster,"blondes are like a rollercoaster, everyone gets a ride!!!"
930,one liners,irishman,what do you call an irishman sitting in your backyard? paddy o'furniture
932,other / misc,broccoli,"broccoli, while not exoccoli, is within an inach of being spinach."
933,one liners,raining cats and dogs,q. what is worse than raining cats and dogs? a. hailing taxicabs!
947,lawyer,lawyers love sushi,"hear about the new sushi bar that caters exclusively to lawyers? it is called, sosumi."
954,yo momma,fat,yo mama is so fat the only thing stopping her from getting into jenny craig is the door!
956,knock-knock,joe,knock knock who is there? joe joe who? jo mama
957,insults,i would punch you,i would punch you but i could not make you any uglier.
958,knock-knock,says,knock knock whose there? says says who? says me
961,animal,bunnies and carrots,q  what is invisible and smells like carrots? a  bunny farts!
963,other / misc,beethoven,what is beethoven doing today?  decomposing.
969,redneck,redneck baby,"you might be a redneck if your baby is first words were,  attention, k mart shoppers! "
980,yo momma,chins,yo momma is so fat she has more chins than a chinese phone book!
984,one liners,numbers,if two is a company and three is a crowd... what is four and five? nine!!!!
1034,blond,owies!!,q  why did the blonde have bruises around her bellybutton? a  because her boyfriend was blond too!
1037,one liners,fooled you,what is another name for a push up bra? false advertisement
1042,one liners,baseball,the chinese say  baseball is wrong. man with four balls cannot walk.
1043,one liners,man and car,men who walk in front of car get tired. men who walk in back of car get exhausted.
1044,gross,ordering soup,what kind of soup do you order at a gay chinese resturant? cream of yungi  cream of young guy 
1046,yo momma,dumby,yo mama is so dumb it took her an hour to make minute rice!!!
1048,animal,carrots,how do you know that carrots are good for your eyesight? have you ever seen a rabbit with glasses?
1111,blond,4 blondes,q  what do you call 4 blondes standing side by side? a  a wind tunnel.
1116,puns,warning- very corny!,what do you call a bear who is into gardening? a hairy potter!
1117,blond,presto-chango,how do you turn a blonde into a brunette? make her do a cartwheel!
1124,one liners,middle age,middle age  when knees buckle and belts do not.
1125,one liners,navy dentist,navy dentist is licence plate  top gum
1126,one liners,poise,poise  the ability to continue speaking fluently while the other fellow is picking up the cheque.
1143,men / women,ten things,the ten things a guy knows about a girl  1. 2. 3. 4. 5. 6. 7. 8. 9. 10. they have boobs.
1157,puns,ice skating,"when ice skating, never judge a brook by its cover."
1158,children,children,children certainly brighten up a home. who ever saw a child under 12 turn off an electric light?
1163,other / misc,spining peas,what do you get when you see peas spinning in circles? world peace  whirled peas 
1166,blond,bigfoot and a blonde,what is the difference between a smart blonde and bigfoot? maybe someday we will find bigfoot.
1168,yo momma,horse,yo mama so fat she is got a real horse on her polo shirt.
1176,blond,dirty blonde,what do you call a blonde which is as sweet as a pickle and has dirty blonde hair? a sweet potatoe!
1180,knock-knock,hatch,knock knock?? who is there? hatch hatch who? bless you
1181,children,the bigger family,who is bigger? mr. bigger or mr. bigger is baby? his baby cause he is a little bigger.
1182,sports,cinderella,why was cinderella kicked off the basketball team? she kept running away from the ball!!
1183,knock-knock,wheres the cowboy??,knock knock??? who is there? ya ya who? where did that cowboy come from??
1191,one liners,laughs last," he who laughs last, thinks slowest. "
1201,men / women,blondes payback time.,for all you blonde ladies out there. why are blonde jokes so short? so men can remember them
1202,blond,what do you call,what do you call a blond who can change a lightbulb? talented
1203,men / women,what do you call a man...,what do you call a man who put the toilet seat down after use? do not know it is never happened.
1204,lightbulb,how many......,how many electricians does it take to change a lightbulb? one i hope.
1208,one liners,what's the difference?,what is the difference between a ford and a golf ball? you can drive a golf ball 200 yards.
1246,blond,panties,q. why do blondes wear panties? a. to keep their ankles warm!!
1247,blond,six years,q  what are the worst six years in a blonde is life? a  fourth grade.
1249,one liners,snowmen vs snowwomen,q  what is the difference between snowmen and snowwomen? a  snowballs
1256,insults,sumos,you are so fat you make sumos look anorexic.
1257,insults,richard laughs,you are so fat richard simmons laughs at you.
1262,redneck,fastfood,you might be a redneck if you think fast food is hitting a dear at 65mph.
1267,other / misc,speed limit,"q.what is the speed limit for sex? a. 68, at 69 you have to turn around!"
1289,yo momma,so... fat,yo momma is so fat that she is on both sides of the family!
1301,other / misc,laugh," he who laughs last, does not get the joke. "
1302,one liners,barbie,"if barbie is so popular, why do you have to buy all her friends?"
1303,one liners,math,"there are three kinds of people in this world, those who can count, and those who can not!"
1304,one liners,vacation,vacation begins when dad says.  i know a shortcut !
1305,one liners,energizer,energizer bunny arrested... charged with battery.
1306,one liners,lottery,"lottery, a tax on people who can not do math"
1307,one liners,generalizations,all generalizations are false
1308,yo momma,you so poor,"yo momma so fat, and you so poor, she stepped in your house and the tires popped."
1309,one liners,stay fit,"eat right, stay fit, die anyway!"
1310,one liners,irs,"irs... we have got what it takes, to take what you have got"
1311,one liners,laugh,laugh alone and the world thinks you are an idiot.
1312,one liners,dna,"dna, national dyslexic association"
1313,one liners,kids,"be nice to your kids, they will choose your nursing home."
1314,one liners,insanity,i do not suffer from insanity... i enjoy every minute of it.
1315,one liners,listening,no one is listening to you until you make a mistake.
1316,one liners,dyslexics,"dyslexics of the world, untie!"
1317,one liners,dare,"dare, to keep cops off donuts"
1318,one liners,on the other hand,"on the other hand, you have different fingers."
1319,one liners,beaver,"save a tree, eat a beaver!!"
1320,one liners,fool,nothing is fool proof to a sufficiently talented fool.
1321,one liners,grumpy,"sometimes i wake up grumpy, other times i let her sleep."
1322,one liners,unique,"always remember that you are unique, just like everybody else!"
1323,one liners,funerals,"always go to other peoples funerals, or they wont come to yours."
1324,one liners,walking,everywhere is within walking distance if you have the time.
1325,one liners,bills,bills travel through the mail at twice the speed of checks.
1326,one liners,nobody,nobody is perfect i am a nobody.
1327,one liners,silence,ask me about my vow of silence..
1328,one liners,courdory,courdory pillows  they are making headlines.
1329,one liners,thesaurus,what is another word for thesaurus?
1330,one liners,butter,the hardness of butter is directly proportional to the softness of bread.
1339,animal,sick bird,q  what is the definition of a sick bird? a  illegal
1340,medical,nurse nurse,"veronica  nurse, i am losing my hair! nurse  okay, what size paper bag do you need?"
1343,one liners,virginia,"her name was virginia. they called her virgin for short, but not for long!"
1344,one liners,vaseline,"and out of the night came the terrible scream,  who put the sand in the vaseline!? "
1345,yo momma,dog ugly,"if my dog was as ugly as your mom, i would shave its butt and teach it to walk backwards!"
1347,blond,bus,a blonde missed a 44 bus so she took the 22 bus twice!
1349,animal,snake and a kangaroo,q  what do you get when you cross a snake and a kangaroo? a  a jump rope
1350,animal,kangaroo and a sheep,q  what do you get when you cross a kangaroo and a sheep? a  a sweater with pockets
1352,one liners,one fence and another,what is the difference between two yards? a. usually a fence.
1354,one liners,physics meets star wars,when physics meets star wars  may the net force be with you!
1356,gross,piglet and the toilet,q  why did piglet look in the toilet? a  he was looking for pooh  poo 
1360,knock-knock,yo da lay he,knock knock! who is there? yo da lay he. yo da lay he who? i did not know you could yodel!
1366,blond,talking blondes,why does not a blonde talk during sex? because her mother told her never to talk to strangers.
1371,knock-knock,rita,"knock knock who is there? rita rita who? rita book, you might learn something!"
1373,one liners,what do you call...,q. what do you call a guy that sits on your doorstep? a. a matt.
1382,yo momma,yo daddy so bald,yo daddy so bald he has to have holes in his pocket to finger through his hair.
1385,other / misc,the letter e,why is the letter e like london? because it is the capital of england
1387,college,blondes at college,what are the blonde is first words after 4 years of college?  would you like fries with that? 
1388,knock-knock,alison,knock knock? who is there? alison. alison who? alison  i listen  to the radio sometimes!
1394,yo momma,poor christmas,"yo' mama so poor, all she got you for christmas was a video of other kids playin' with their toys!"
1401,other / misc,watches,"what is the difference between a jailer and a jeweler? one sells watches, one watches cells!"
1402,yo momma,time fly,yo mamma so stupid she threw a clock out the window to see time fly.
1403,blond,mirror,why did the blonde keep a picture of herself in her room? so she could use it as a mirror!
1406,yo momma,make up,yo mama is so stupid that she put lipstick on her forehead to make up her mind.
1408,yo momma,shorty,"yo mama so short, she did a suicide jump off of the curb."
1409,insults,i.q.,"your iq is so low, you have to dig for it!"
1411,lawyer,pockets,it was so cold today i saw a lawyer with his hands in his own pockets.
1412,redneck,redneck milk,how did the redneck die drinking milk? the cow sat on him!
1414,other / misc,opinions,"opinions are like assholes. everyone has one, and everyone elses' stinks."
